Year   SS     S27
1948 1.5706  1.499
1949 0.8829  1.326
1950 0.5066  NA
1951 1.58    1.475
1952 1.7929  1.828
1953 1.43    1.211
1954 1.1562  1.413
1955 1.5903  1.260
1956 1.1298  1.273
1957 1.7354  1.510
1958 1.2809  1.319
1959 1.3786  1.314
1960 1.3422  1.383
1961 1.4103  1.580
1962 1.4436  1.268
1963 1.3756  1.431
1964 1.3545  1.303
1965 1.434   1.230
1966 1.2168 1.140
1967 1.3286  1.475
1968 1.3567  0.929
1969 1.1664  1.296
1970 1.3331  1.569
1971 1.4014  1.574
1972 1.4406  1.447
1973 1.4118  1.831
1974 0.8075  1.130
1975 1.203   1.243
1976 1.4144  1.180
1977 1.5021  1.691
1978 1.5838  1.235
1979 1.3926  1.387
1980 1.2728  1.375
1981 1.5275  NA
1982 1.2888  1.090
1983 1.7724  1.517
1984 1.4986  1.873
1985 0.9111  1.272
1986 1.3282  NA
1987 1.5871  NA
1988 1.6077  NA
1989 1.2947  NA
1990 1.3536  1.227
1991 1.6468  1.612
1992 1.4515  1.325
1993 1.5641  1.275
1994 1.9709  1.636
1995 1.5984  1.738
1996 1.406   1.237
1997 1.7641  1.516
1998 2.1569  1.681
1999 1.8534  1.804
2000 1.6736  1.519
2001 1.5858  1.660
2002 1.3901  1.373
2003 2.2042  1.419
2004 1.4475  1.372
2005 1.7653  1.441
2006 1.8161  1.636
2007 1.7248  1.621
2008 1.8242  1.564
2009 1.5577  1.333
2010 1.9406  1.329
2011 1.3942 1.111
2012 1.9225  1.343
2013 1.983   1.608
2014 1.8167  1.764
2015 1.7778  1.240
2016 1.7011  1.441
2017 1.7092  1.614
2018 1.3917  0.957
2019 1.7688  1.051
2020 1.6384  1.724
2021 1.763   1.537
2022 1.522   1.739
2023 2.1057  1.544
